關鍵字,網頁標題,網頁連結,抓取日期
馬英九,聽到民眾尖叫高喊「好帥」 馬英九自信秒回：我會繼續帥下去！,https://www.google.com/url?rct=j&sa=t&url=https://tw.news.yahoo.com/%25E8%2581%25BD%25E5%2588%25B0%25E6%25B0%2591%25E7%259C%25BE%25E5%25B0%2596%25E5%258F%25AB%25E9%25AB%2598%25E5%2596%258A-%25E5%25A5%25BD%25E5%25B8%25A5-%25E9%25A6%25AC%25E8%258B%25B1%25E4%25B9%259D%25E8%2587%25AA%25E4%25BF%25A1%25E7%25A7%2592%25E5%259B%259E-%25E6%2588%2591%25E6%259C%2583%25E7%25B9%25BC%25E7%25BA%258C%25E5%25B8%25A5%25E4%25B8%258B%25E5%258E%25BB-081832477.html&ct=ga&cd=CAAYADIdYmIwNGJlYmE2NjE2YzlmYjpjb206emgtVFc6VVM&usg=AFQjCNElS5S4_Gz1_jYtQ9o1HlXksv75jA,2020-10-12
馬英九,國民黨改名撕親中標籤？ 馬英九：不必討論,https://www.google.com/url?rct=j&sa=t&url=https://tw.news.yahoo.com/%25E5%259C%258B%25E6%25B0%2591%25E9%25BB%25A8%25E6%2594%25B9%25E5%2590%258D%25E6%2592%2595%25E8%25A6%25AA%25E4%25B8%25AD%25E6%25A8%2599%25E7%25B1%25A4-%25E9%25A6%25AC%25E8%258B%25B1%25E4%25B9%259D-%25E4%25B8%258D%25E5%25BF%2585%25E8%25A8%258E%25E8%25AB%2596-022815729.html&ct=ga&cd=CAAYATIdYmIwNGJlYmE2NjE2YzlmYjpjb206emgtVFc6VVM&usg=AFQjCNH4Gm_RKMtARtlt1Kz_ewIc96kqDw,2020-10-12
馬英九,幹譙馬英九最無能總統獲千讚林大鈞：自己發文讚數都沒這麼多！,https://www.google.com/url?rct=j&sa=t&url=https://newtalk.tw/news/view/2020-10-11/477724&ct=ga&cd=CAAYAjIdYmIwNGJlYmE2NjE2YzlmYjpjb206emgtVFc6VVM&usg=AFQjCNGk_d8eK2IISivluPof3wp0FXla3A,2020-10-12
馬英九,馬英九出席華僑節大會(圖),https://www.google.com/url?rct=j&sa=t&url=https://tw.news.yahoo.com/%25E9%25A6%25AC%25E8%258B%25B1%25E4%25B9%259D%25E5%2587%25BA%25E5%25B8%25AD%25E8%258F%25AF%25E5%2583%2591%25E7%25AF%2580%25E5%25A4%25A7%25E6%259C%2583-%25E5%259C%2596-045435261.html&ct=ga&cd=CAAYAzIdYmIwNGJlYmE2NjE2YzlmYjpjb206emgtVFc6VVM&usg=AFQjCNEtCIrkqfZuoxNivJ2dHCig0-yvDw,2020-10-12
馬英九,太陽花驅離判馬英九無罪義務律師團不再上訴,https://www.google.com/url?rct=j&sa=t&url=https://tw.news.yahoo.com/%25E5%25A4%25AA%25E9%2599%25BD%25E8%258A%25B1%25E9%25A9%2585%25E9%259B%25A2%25E5%2588%25A4%25E9%25A6%25AC%25E8%258B%25B1%25E4%25B9%259D%25E7%2584%25A1%25E7%25BD%25AA-%25E7%25BE%25A9%25E5%258B%2599%25E5%25BE%258B%25E5%25B8%25AB%25E5%259C%2598%25E4%25B8%258D%25E5%2586%258D%25E4%25B8%258A%25E8%25A8%25B4-033351947.html&ct=ga&cd=CAAYBDIdYmIwNGJlYmE2NjE2YzlmYjpjb206emgtVFc6VVM&usg=AFQjCNGX2pCFrLd-JfTlZh6FjQfOyxZe8w,2020-10-12
馬英九,央視曝台諜案馬英九：任何侵犯人權問題都會關切,https://www.google.com/url?rct=j&sa=t&url=https://tw.news.yahoo.com/%25E5%25A4%25AE%25E8%25A6%2596%25E6%259B%259D%25E5%258F%25B0%25E8%25AB%259C%25E6%25A1%2588-%25E9%25A6%25AC%25E8%258B%25B1%25E4%25B9%259D-%25E4%25BB%25BB%25E4%25BD%2595%25E4%25BE%25B5%25E7%258A%25AF%25E4%25BA%25BA%25E6%25AC%258A%25E5%2595%258F%25E9%25A1%258C%25E9%2583%25BD%25E6%259C%2583%25E9%2597%259C%25E5%2588%2587-040756036.html&ct=ga&cd=CAAYBTIdYmIwNGJlYmE2NjE2YzlmYjpjb206emgtVFc6VVM&usg=AFQjCNHMOKg2fn460WumYj9n4ljGOAiWpw,2020-10-12
馬英九,中共狠逮數百台諜？馬英九竟冷回這句,https://www.google.com/url?rct=j&sa=t&url=https://tw.news.yahoo.com/%25E4%25B8%25AD%25E5%2585%25B1%25E7%258B%25A0%25E9%2580%25AE%25E6%2595%25B8%25E7%2599%25BE%25E5%258F%25B0%25E8%25AB%259C-%25E9%25A6%25AC%25E8%258B%25B1%25E4%25B9%259D%25E7%25AB%259F%25E5%2586%25B7%25E5%259B%259E%25E9%2580%2599%25E5%258F%25A5-022518488.html&ct=ga&cd=CAAYBjIdYmIwNGJlYmE2NjE2YzlmYjpjb206emgtVFc6VVM&usg=AFQjCNHotp8hxxjxbC1WecjBXvWhhVroKQ,2020-10-12
馬英九,國民黨改名去「中國」兩字？馬英九：不必討論,https://www.google.com/url?rct=j&sa=t&url=https://tw.tv.yahoo.com/news-video/%25E5%259C%258B%25E6%25B0%2591%25E9%25BB%25A8%25E6%2594%25B9%25E5%2590%258D%25E5%258E%25BB-%25E4%25B8%25AD%25E5%259C%258B-%25E5%2585%25A9%25E5%25AD%2597-%25E9%25A6%25AC%25E8%258B%25B1%25E4%25B9%259D-%25E4%25B8%258D%25E5%25BF%2585%25E8%25A8%258E%25E8%25AB%2596-052648313.html&ct=ga&cd=CAAYBzIdYmIwNGJlYmE2NjE2YzlmYjpjb206emgtVFc6VVM&usg=AFQjCNE3ygxepY7D9uYqXcTaG3RDhHI0nA,2020-10-12
馬英九,太陽花驅離判馬英九無罪義務律師團：不再上訴(圖),https://www.google.com/url?rct=j&sa=t&url=https://tw.news.yahoo.com/%25E5%25A4%25AA%25E9%2599%25BD%25E8%258A%25B1%25E9%25A9%2585%25E9%259B%25A2%25E5%2588%25A4%25E9%25A6%25AC%25E8%258B%25B1%25E4%25B9%259D%25E7%2584%25A1%25E7%25BD%25AA-%25E7%25BE%25A9%25E5%258B%2599%25E5%25BE%258B%25E5%25B8%25AB%25E5%259C%2598-%25E4%25B8%258D%25E5%2586%258D%25E4%25B8%258A%25E8%25A8%25B4-%25E5%259C%2596-042534143.html&ct=ga&cd=CAAYCDIdYmIwNGJlYmE2NjE2YzlmYjpjb206emgtVFc6VVM&usg=AFQjCNH3lIlv6_nLHzthjeKdCfvb8GiUtg,2020-10-12
馬英九,才說要帥下去被贈健行杖馬英九：一定是看我老了,https://www.google.com/url?rct=j&sa=t&url=https://udn.com/news/story/6656/4928655&ct=ga&cd=CAAYCTIdYmIwNGJlYmE2NjE2YzlmYjpjb206emgtVFc6VVM&usg=AFQjCNFwmEl3PRvr7qNYl6cvhetfOg57ig,2020-10-12
